category,group,name,experience,level
Electrónica,Analógico / Digital,Filtros analógicos / digitales,+15 años,Experto
Electrónica,Analógico / Digital,Fuentes switching,+15 años,Experto
Electrónica,Displays,LCD / TFT Color / OLED,+20 años,Experto
Electrónica,Displays,E-ink,+5 años,Experto
Electrónica,Displays,Touch Screen,+5 años,Experto
Electrónica,Microcontroladores / SOCs,Espressif ESP32,+5 años,Experto
Electrónica,Microcontroladores / SOCs,Raspberry RP2040/2350,+5 años,Experto
Electrónica,Microcontroladores / SOCs,Nordic nRF,+1 años,Intermedio
Electrónica,Microcontroladores / SOCs,Rockchip RV110X,+1 años,Intermedio
Electrónica,Microcontroladores,STM32,+2 años,Intermedio
Electrónica,Microcontroladores (Legacy),Motorola HC08,+10 años,Experto
Electrónica,Microcontroladores (Legacy),Atmel AVR / Xmega / UC3,+15 años,Experto
Electrónica,Microcontroladores (Legacy),Texas MSP430,+3 años,Intermedio
Electrónica,PCB,OrCAD,+15 años,Experto
Electrónica,PCB,KiCad,+8 años,Experto
Electrónica,PCB,Altium,+2 años,Intermedio
Electrónica,PCB,Proteus,+15 años,Experto
Electrónica,Buses de campo,CAN,+5 años,Experto
Electrónica,Buses de campo,RS-232,+20 años,Experto
Electrónica,Buses de campo,RS-485,+20 años,Experto
Electrónica,Buses de campo,4-20mA,+20 años,Experto
Electrónica,Buses de campo,Fieldbus,+2 años,Intermedio
Electrónica,Buses de campo,Profibus,+2 años,Intermedio
Electrónica,Instrumentación de Campo,Instrumentos de medición,+20 años,Experto
Electrónica,Instrumentación de Campo,Sensores / transmisores,+20 años,Experto
Electrónica,Automatización Industrial,PLCs / SCADA / HMI,+10 años,Avanzado
Electrónica,Automatización Industrial,Lazos de control / PID,+10 años,Experto
Electrónica,Instrumentación de Laboratorio,Osciloscopios,+20 años,Experto
Electrónica,Instrumentación de Laboratorio,Analizadores de red,+5 años,Avanzado
Electrónica,Instrumentación de Laboratorio,Multímetros / LCR,+20 años,Experto
Electrónica,Instrumentación de Laboratorio,SDR,+5 años,Avanzado
Electrónica,Antenas / RF,"Diseño & modelado (GNU Radio, MMANA-GAL)",+5 años,Avanzado
Electrónica,Embedded,Bring-up de hardware,+10 años,Experto
Electrónica,Embedded,Debug JTAG / SWD,+5 años,Avanzado
Electrónica,Embedded,Bootloaders / OTA,+5 años,Avanzado
Electrónica,Buses,I2C / SPI / UART,+20 años,Experto
Electrónica,Buses,USB,+10 años,Avanzado
Informática,Desarrollo Web,HTML,+20 años,Avanzado
Informática,Desarrollo Web,CSS,+10 años,Avanzado
Informática,Gestión de Paquetes,Maven,+5 años,Avanzado
Informática,Gestión de Paquetes,Gradle,+5 años,Avanzado
Informática,Gestión de Paquetes,npm,+5 años,Avanzado
Informática,Gestión de Paquetes,NuGet,+5 años,Avanzado
Informática,Bases de datos,MongoDB,+5 años,Avanzado
Informática,Bases de datos,MySQL,+10 años,Avanzado
Informática,Bases de datos,Microsoft SQL Server,+10 años,Avanzado
Informática,Bases de datos,PostgreSQL,+5 años,Avanzado
Informática,Virtualización,Docker,+2 años,Avanzado
Informática,Virtualización,VirtualBox,+10 años,Experto
Informática,Virtualización,Libvirt,+2 años,Intermedio
Informática,Virtualización,QEMU,+2 años,Intermedio
